"","count","user.id","user.login","user.name","observation_count"
"1",23748,205278,"ajwright","Alex Wright",NA
"2",16532,1144630,"cosmopterix","Mike Palmer",385
"3",10651,1122352,"augustjackson","August Jackson",NA
"4",9985,51247,"samleininger","Sam Leininger",NA
"5",9950,5408214,"humblerootsdrew","Andrew Merritt",NA
"6",7818,3908595,"rynxs","Ryan Sorrells",194
"7",6253,1781642,"calebcatto","Caleb Catto",NA
"8",5839,781032,"morganstickrod","Morgan Stickrod",309
"9",4949,2626695,"brothernorbert","Norbert Sauberer",NA
"10",4590,4311882,"vlohr","V. Lohr",NA
"11",4556,2116455,"davidenrique","David",NA
"12",4529,26905,"polemoniaceae","Jeff",NA
"13",4452,704271,"stewartwechsler","Stewart Wechsler",NA
"14",4198,1056080,"csledge","Chantel",NA
"15",4186,5231239,"frondsinhighplaces","Timothy McNitt",NA
"16",3460,264586,"adrienne_stclair","Adrienne Basey St. Clair (she/her)",201
"17",3434,766577,"wojciech","",NA
"18",3382,19073,"choess","Chris Hoess",NA
"19",3021,17695,"graysquirrel","Krissa Klein",NA
"20",2863,1168695,"trscavo","Tom Scavo",NA
"21",2690,1344503,"superluminal","Soumil",NA
"22",2616,726060,"albach","",NA
"23",2600,1027806,"kalelevin","Kale",NA
"24",2591,5260133,"yuri_pirogov","Yuri Pirogov",NA
"25",2578,2177727,"williambee","William Bee",NA
"26",2547,120940,"lallen","",NA
"27",2472,1368710,"lilyboy","JoeJoe Clark",NA
"28",2470,113689,"rupertclayton","Rupert Clayton",NA
"29",2399,4315664,"egordon88","Elliott Gordon",NA
"30",2327,2617075,"joedziewa","joe dziewa",NA
"31",2181,12636,"markegger","Mark Egger",NA
"32",2012,2554773,"alex_iosipenko","Alexander Iosipenko",NA
"33",1971,175837,"tsn","Tom Norton",NA
"34",1923,250191,"arethusa","",NA
"35",1852,2565401,"spinescence","",NA
"36",1825,71824,"laurence","Laurence Hill",NA
"37",1796,1553539,"tobiaspolicha","Tobias Policha",387
"38",1774,2094499,"jim_keesling","",NA
"39",1770,2899829,"catullus","Nicholas Wei",NA
"40",1721,3293472,"tsuga_homophylla","Patrick",215
"41",1686,4024404,"night-owl-naturals","night owl naturals",208
"42",1591,1569483,"pennywort_man","",NA
"43",1577,2567033,"jasonhernandez74","Jason Hernandez",NA
"44",1518,984355,"wini56","Erwin JÖRG",NA
"45",1482,2509089,"reodell","Ryan O'Dell",NA
"46",1480,41234,"grnleaf","Leah Gardner",NA
"47",1473,187985,"elaineoregon","",NA
"48",1444,4249652,"picklejar","",NA
"49",1441,435874,"cwarneke","cwarneke",NA
"50",1409,1254600,"afid","",NA
"51",1372,754260,"ellenwatrous","Ellen Watrous",499
