"","Group","Family","taxon.rank","taxon.id","taxon.name","establishment","endemic","OregonFlora"
"1","Gymnosperms","Cupressaceae","species",68088,"Juniperus occidentalis","native","yes","native"
"2","Monocotyledons","Liliaceae","species",50840,"Calochortus tolmiei","native","yes","native"
"3","Dicotyledons","Fagaceae","species",53363,"Chrysolepis chrysophylla","native","yes","native"
"4","","","species",881534,"Anemonastrum deltoideum","native","yes",""
"5","Dicotyledons","Sarraceniaceae","species",52652,"Darlingtonia californica","native","yes","native"
"6","Dicotyledons","Asteraceae","species",75598,"Artemisia tridentata","native","yes","native"
"7","Monocotyledons","Iridaceae","species",77503,"Iris chrysophylla","native","yes","native"
"8","Dicotyledons","Apiaceae","species",64289,"Angelica hendersonii","native","yes","native"
"9","Gymnosperms","Pinaceae","species",75242,"Abies procera","native","yes","native"
"10","Dicotyledons","Ericaceae","species",75527,"Arctostaphylos nevadensis","native","yes","native"
"11","Monocotyledons","Liliaceae","species",77076,"Erythronium hendersonii","native","yes","native"
"12","Dicotyledons","Polygonaceae","species",768183,"Koenigia davisiae","native","yes","native"
"13","Dicotyledons","Apiaceae","species",164720,"Lomatium columbianum","native","yes","native"
"14","Dicotyledons","Asteraceae","species",75773,"Blepharipappus scaber","native","yes","native"
"15","","","species",950601,"Anemonoides oregana","native","yes",""
"16","Dicotyledons","Rhamnaceae","species",76192,"Ceanothus prostratus","native","yes","native"
"17","Dicotyledons","Asteraceae","species",62273,"Balsamorhiza careyana","native","yes","native"
"18","Dicotyledons","Orobanchaceae","species",60484,"Castilleja arachnoidea","native","yes","native"
"19","Dicotyledons","Apiaceae","species",77809,"Lomatium hallii","native","yes","native"
"20","Dicotyledons","Orobanchaceae","species",76139,"Castilleja chromosa","native","yes","native"
"21","Dicotyledons","Rhamnaceae","species",76193,"Ceanothus pumilus","native","yes","native"
"22","Monocotyledons","Liliaceae","species",51055,"Calochortus eurycarpus","native","yes","native"
"23","Dicotyledons","Ranunculaceae","species",76436,"Coptis laciniata","native","yes","native"
"24","Dicotyledons","Araliaceae","species",52848,"Aralia californica","native","yes","native"
"25","","","species",1449997,"Smithiastrum prenanthoides","native","yes",""
"26","","","species",495823,"Hydrophyllum alpestre","native","yes",""
"27","Monocotyledons","Amaryllidaceae","species",47356,"Allium falcifolium","native","yes","native"
"28","","","species",68090,"Abies magnifica","native","yes",""
"29","","","species",78769,"Pseudotrillium rivale","native","yes",""
"30","Dicotyledons","Orobanchaceae","species",160224,"Castilleja suksdorfii","native","yes","native"
"31","Dicotyledons","Apocynaceae","species",62248,"Asclepias cordifolia","native","yes","native"
"32","Dicotyledons","Violaceae","species",79509,"Viola hallii","native","yes","native"
"33","Monocotyledons","Liliaceae","species",77075,"Erythronium citrinum","native","yes","native"
"34","Dicotyledons","Brassicaceae","species",158471,"Arabis aculeolata","native","yes","native"
"35","Dicotyledons","Ranunculaceae","species",543559,"Delphinium pavonaceum","native","yes","native"
"36","","","species",1487137,"Cirsium peckii","native","yes",""
"37","Dicotyledons","Phrymaceae","species",771820,"Diplacus deschutesensis","native","yes","native"
"38","Dicotyledons","Brassicaceae","species",159843,"Cardamine penduliflora","native","yes","native"
"39","Dicotyledons","Polygonaceae","species",768201,"Koenigia phytolaccifolia","native","yes","native"
"40","Monocotyledons","Liliaceae","species",159693,"Calochortus howellii","native","yes","native"
"41","Monocotyledons","Orchidaceae","species",50710,"Cypripedium californicum","native","yes","native"
"42","Dicotyledons","Orobanchaceae","species",76138,"Castilleja brevilobata","native","yes","native"
"43","Dicotyledons","Apiaceae","species",164718,"Lomatium bradshawii","native","yes","native"
"44","Dicotyledons","Asteraceae","species",75744,"Balsamorhiza sericea","native","yes","native"
"45","Dicotyledons","Asteraceae","species",75300,"Ageratina occidentalis","native","yes","native"
"46","Monocotyledons","Liliaceae","species",61191,"Calochortus uniflorus","native","yes","native"
"47","Dicotyledons","Ranunculaceae","species",160688,"Clematis hirsutissima","native","yes","native"
"48","Dicotyledons","Fabaceae","species",164438,"Lathyrus holochlorus","native","yes","native"
"49","Dicotyledons","Asteraceae","species",75745,"Balsamorhiza serrata","native","yes","native"
"50","Dicotyledons","Apiaceae","species",77802,"Lomatium canbyi","native","yes","native"
"51","Dicotyledons","Saxifragaceae","species",76136,"Cascadia nuttallii","native","yes","native"
"52","Dicotyledons","Saxifragaceae","species",75862,"Boykinia major","native","yes","native"
"53","Gymnosperms","Cupressaceae","species",47372,"Sequoia sempervirens","native","yes","native"
"54","Dicotyledons","Rosaceae","species",508658,"Fragaria cascadensis","native","yes","native"
"55","Dicotyledons","Montiaceae","species",77731,"Lewisia oppositifolia","native","yes","native"
"56","Dicotyledons","Apiaceae","species",77822,"Lomatium piperi","native","yes","native"
"57","Dicotyledons","Rosaceae","species",77440,"Horkelia howellii","native","yes","native"
"58","Dicotyledons","Fagaceae","species",78809,"Quercus sadleriana","native","yes","native"
"59","Dicotyledons","Saxifragaceae","species",78026,"Micranthes howellii","native","yes","native"
"60","Monocotyledons","Melanthiaceae","species",125665,"Trillium petiolatum","native","yes","native"
"61","","","species",1415104,"Cleomella platycarpa","native","yes",""
"62","Dicotyledons","Orobanchaceae","species",1044616,"Castilleja elata","native","yes","native"
"63","Dicotyledons","Ericaceae","species",64049,"Arctostaphylos canescens","native","yes","native"
"64","Monocotyledons","Amaryllidaceae","species",75367,"Allium tolmiei","native","yes","native"
"65","Dicotyledons","Apiaceae","species",164739,"Lomatium minus","native","yes","native"
"66","Dicotyledons","Apiaceae","species",77812,"Lomatium howellii","native","yes","native"
"67","Dicotyledons","Ericaceae","species",164341,"Kalmiopsis leachiana","native","yes","native"
"68","Dicotyledons","Fagaceae","species",78810,"Quercus vacciniifolia","native","yes","native"
"69","Gymnosperms","Pinaceae","species",78581,"Picea breweriana","native","yes","native"
"70","Dicotyledons","Brassicaceae","species",75796,"Boechera koehleri","native","yes","native"
"71","Dicotyledons","Orobanchaceae","species",160195,"Castilleja glandulifera","native","yes","native"
"72","Dicotyledons","Saxifragaceae","species",159303,"Bolandra oregana","native","yes","native"
"73","Monocotyledons","Melanthiaceae","species",169990,"Trillium kurabayashii","native","yes","native"
"74","Monocotyledons","Amaryllidaceae","species",75366,"Allium siskiyouense","native","yes","native"
"75","Dicotyledons","Phrymaceae","species",771815,"Diplacus cascadensis","native","yes","native"
"76","Dicotyledons","Orobanchaceae","species",76156,"Castilleja schizotricha","native","yes","native"
"77","Dicotyledons","Orobanchaceae","species",160184,"Castilleja chrysantha","native","yes","native"
"78","Dicotyledons","Orobanchaceae","species",160231,"Castilleja xanthotricha","native","yes","native"
"79","Dicotyledons","Apiaceae","species",162709,"Eryngium petiolatum","native","yes","native"
"80","Dicotyledons","Plantaginaceae","species",737997,"Veronica rubra","native","yes","native"
"81","Dicotyledons","Asteraceae","species",160368,"Chaenactis nevii","native","yes","native"
"82","Dicotyledons","Apocynaceae","species",62297,"Asclepias cryptoceras","native","yes","native"
"83","Dicotyledons","Asteraceae","species",160815,"Columbiadoria hallii","native","yes","native"
"84","Dicotyledons","Asteraceae","species",75742,"Balsamorhiza hookeri","native","yes","native"
"85","Dicotyledons","Violaceae","species",79506,"Viola beckwithii","native","yes","native"
"86","Monocotyledons","Liliaceae","species",64410,"Calochortus bruneaunis","native","yes","native"
"87","Monocotyledons","Liliaceae","species",64421,"Calochortus coxii","native","yes","native"
"88","","","species",77730,"Lewisia nevadensis","native","yes",""
"89","Monocotyledons","Asparagaceae","species",79448,"Triteleia bridgesii","native","yes","native"
"90","Dicotyledons","Asteraceae","species",75585,"Artemisia arbuscula","native","yes","native"
"91","Monocotyledons","Asparagaceae","species",62262,"Dichelostemma multiflorum","native","yes","native"
"92","Dicotyledons","Polemoniaceae","species",76419,"Collomia tinctoria","native","yes","native"
"93","Dicotyledons","Hydrophyllaceae","species",57856,"Romanzoffia californica","native","yes","native"
"94","Monocotyledons","Liliaceae","species",162720,"Erythronium elegans","native","yes","native"
"95","Dicotyledons","Montiaceae","species",76386,"Claytonia cordifolia","native","yes","native"
"96","Monocotyledons","Iridaceae","species",164135,"Iris tenuis","native","yes","native"
"97","","","species",357957,"Micranthes hitchcockiana","native","yes",""
"98","Dicotyledons","Ranunculaceae","species",877016,"Ranunculus austro-oreganus","native","yes","native"
"99","Dicotyledons","Plantaginaceae","species",166417,"Penstemon peckii","native","yes","native"
"100","Pteridophytes","Pteridaceae","species",78383,"Pellaea brachyptera","native","yes","native"
"101","Dicotyledons","Ericaceae","species",164340,"Kalmiopsis fragrans","native","yes","native"
"102","Dicotyledons","Apiaceae","species",164731,"Lomatium gormanii","native","yes","native"
"103","Dicotyledons","Asteraceae","species",76347,"Cirsium cymosum","native","yes","native"
"104","Monocotyledons","Smilacaceae","species",79133,"Smilax californica","native","yes","native"
"105","Dicotyledons","Orobanchaceae","species",160180,"Castilleja chambersii","native","yes","native"
"106","Dicotyledons","Asteraceae","species",75462,"Antennaria geyeri","native","yes","native"
"107","Dicotyledons","Orobanchaceae","species",76443,"Cordylanthus ramosus","native","yes","native"
"108","Dicotyledons","Asteraceae","species",75567,"Arnica cernua","native","yes","native"
"109","Dicotyledons","Orobanchaceae","species",76147,"Castilleja mendocinensis","native","yes","native"
"110","Dicotyledons","Polemoniaceae","species",76415,"Collomia larsenii","native","yes","native"
"111","Monocotyledons","Amaryllidaceae","species",158177,"Allium fibrillum","native","yes","native"
"112","Dicotyledons","Orobanchaceae","species",160181,"Castilleja chlorotica","native","yes","native"
"113","","","species",162721,"Erythronium howellii","native","yes",""
"114","Dicotyledons","Asteraceae","species",52851,"Arnica discoidea","native","yes","native"
"115","Dicotyledons","Apiaceae","species",77810,"Lomatium hendersonii","native","yes","native"
"116","Dicotyledons","Apiaceae","species",164753,"Lomatium suksdorfii","native","yes","native"
"117","Dicotyledons","Asteraceae","species",158719,"Artemisia rigida","native","yes","native"
"118","Dicotyledons","Fabaceae","species",169141,"Sophora leachiana","native","yes","native"
"119","Dicotyledons","Orobanchaceae","species",160220,"Castilleja rubida","native","yes","native"
"120","Dicotyledons","Brassicaceae","species",75825,"Boechera subpinnatifida","native","yes","native"
"121","Dicotyledons","Boraginaceae","species",78017,"Mertensia bella","native","yes","native"
"122","Dicotyledons","Brassicaceae","species",159842,"Cardamine pattersonii","native","yes","native"
"123","Dicotyledons","Apiaceae","species",164736,"Lomatium laevigatum","native","yes","native"
"124","Dicotyledons","Caryophyllaceae","species",838421,"Eremogone pumicola","native","yes","native"
"125","Monocotyledons","Amaryllidaceae","species",158181,"Allium macrum","native","yes","native"
"126","Dicotyledons","Plantaginaceae","species",738039,"Veronica californica","native","yes","native"
"127","Monocotyledons","Alismataceae","species",60252,"Damasonium californicum","native","yes","native"
"128","Dicotyledons","Orobanchaceae","species",160208,"Castilleja oresbia","native","yes","native"
"129","Dicotyledons","Apiaceae","species",164722,"Lomatium cookii","native","yes","native"
"130","Pteridophytes","Ophioglossaceae","species",75851,"Botrychium pumicola","native","yes","native"
"131","Dicotyledons","Fagaceae","species",53386,"Chrysolepis sempervirens","native","yes","native"
"132","Dicotyledons","Aristolochiaceae","species",1077599,"Asarum wagneri","native","yes","native"
"133","Monocotyledons","Amaryllidaceae","species",59783,"Allium bolanderi","native","yes","native"
"134","Dicotyledons","Saxifragaceae","species",169440,"Sullivantia oregana","native","yes","native"
"135","Dicotyledons","Asteraceae","species",76753,"Eatonella nivea","native","yes","native"
"136","Dicotyledons","Papaveraceae","species",159816,"Canbya aurea","native","yes","native"
"137","","","species",78816,"Ranunculus andersonii","native","yes",""
"138","Dicotyledons","Asteraceae","species",159139,"Balsamorhiza incana","native","yes","native"
"139","Dicotyledons","Asteraceae","species",160365,"Chaenactis cusickii","native","yes","native"
"140","Dicotyledons","Caprifoliaceae","species",60878,"Lonicera interrupta","native","yes","native"
"141","Monocotyledons","Amaryllidaceae","species",75359,"Allium platycaule","native","yes","native"
"142","Dicotyledons","Apiaceae","species",164733,"Lomatium greenmanii","native","yes","native"
"143","Pteridophytes","Pteridaceae","species",481710,"Myriopteris intertexta","native","yes","native"
"144","Dicotyledons","Ranunculaceae","species",1293333,"Delphinium oreganum","native","yes","native"
"145","Dicotyledons","Asteraceae","species",62567,"Calycadenia truncata","native","yes","native"
"146","Monocotyledons","Amaryllidaceae","species",158175,"Allium douglasii","native","yes","native"
"147","Dicotyledons","Asteraceae","species",76659,"Dimeresia howellii","native","yes","native"
"148","Dicotyledons","Apiaceae","species",79322,"Tauschia howellii","native","yes","native"
"149","","","species",75474,"Anthoxanthum occidentale","native","yes",""
"150","Dicotyledons","Brassicaceae","species",79266,"Streptanthus howellii","native","yes","native"
"151","Dicotyledons","Fabaceae","species",158910,"Astragalus howellii","native","yes","native"
"152","Dicotyledons","Fabaceae","species",158999,"Astragalus sheldonii","native","yes","native"
"153","Monocotyledons","Amaryllidaceae","species",59078,"Allium cratericola","native","yes","uncertain"
"154","Monocotyledons","Amaryllidaceae","species",75336,"Allium anceps","native","yes","native"
"155","Dicotyledons","Asteraceae","species",75470,"Antennaria suffrutescens","native","yes","native"
"156","Dicotyledons","Apiaceae","species",77824,"Lomatium ravenii","native","yes","native"
"157","Dicotyledons","Apiaceae","species",77831,"Lomatium vaginatum","native","yes","native"
"158","Gymnosperms","Pinaceae","species",58772,"Pinus sabiniana","native","yes","native"
"159","Dicotyledons","Berberidaceae","species",63938,"Vancouveria planipetala","native","yes","native"
"160","Dicotyledons","Onagraceae","species",68182,"Taraxia ovata","native","yes","native"
"161","Dicotyledons","Orobanchaceae","species",1152869,"Castilleja collegiorum","native","yes","native"
"162","Dicotyledons","Orobanchaceae","species",71075,"Cordylanthus tenuis","native","yes","native"
"163","Monocotyledons","Amaryllidaceae","species",75361,"Allium punctum","native","yes","native"
"164","Dicotyledons","Asteraceae","species",77123,"Eurybia integrifolia","native","yes","native"
"165","Dicotyledons","Orobanchaceae","species",160228,"Castilleja viscidula","native","yes","native"
"166","","","species",779869,"Claytonia serpenticola","native","yes",""
"167","Dicotyledons","Asteraceae","species",75582,"Arnica viscosa","native","yes","native"
"168","Dicotyledons","Cleomaceae","species",76395,"Cleomella hillmanii","native","yes","native"
"169","Dicotyledons","Fabaceae","species",79418,"Trifolium howellii","native","yes","native"
"170","Dicotyledons","Asteraceae","species",60952,"Artemisia pycnocephala","native","yes","native"
"171","Dicotyledons","Orobanchaceae","species",63009,"Cordylanthus capitatus","native","yes","native"
