"","count","taxon.id","taxon.rank","taxon.name","establishment","endemic"
"1",3668,68088,"species","Juniperus occidentalis","native","yes"
"2",2681,50840,"species","Calochortus tolmiei","native","yes"
"3",1752,53363,"species","Chrysolepis chrysophylla","native","yes"
"4",1488,881534,"species","Anemonastrum deltoideum","native","yes"
"5",1379,52652,"species","Darlingtonia californica","native","yes"
"6",1346,75598,"species","Artemisia tridentata","native","yes"
"7",1234,77503,"species","Iris chrysophylla","native","yes"
"8",800,64289,"species","Angelica hendersonii","native","yes"
"9",779,75242,"species","Abies procera","native","yes"
"10",766,75527,"species","Arctostaphylos nevadensis","native","yes"
"11",734,77076,"species","Erythronium hendersonii","native","yes"
"12",623,768183,"species","Koenigia davisiae","native","yes"
"13",610,164720,"species","Lomatium columbianum","native","yes"
"14",567,75773,"species","Blepharipappus scaber","native","yes"
"15",556,950601,"species","Anemonoides oregana","native","yes"
"16",526,76192,"species","Ceanothus prostratus","native","yes"
"17",473,62273,"species","Balsamorhiza careyana","native","yes"
"18",425,60484,"species","Castilleja arachnoidea","native","yes"
"19",422,77809,"species","Lomatium hallii","native","yes"
"20",397,76139,"species","Castilleja chromosa","native","yes"
"21",387,76193,"species","Ceanothus pumilus","native","yes"
"22",371,51055,"species","Calochortus eurycarpus","native","yes"
"23",351,76436,"species","Coptis laciniata","native","yes"
"24",312,52848,"species","Aralia californica","native","yes"
"25",289,1449997,"species","Smithiastrum prenanthoides","native","yes"
"26",288,495823,"species","Hydrophyllum alpestre","native","yes"
"27",276,47356,"species","Allium falcifolium","native","yes"
"28",269,68090,"species","Abies magnifica","native","yes"
"29",254,78769,"species","Pseudotrillium rivale","native","yes"
"30",248,160224,"species","Castilleja suksdorfii","native","yes"
"31",230,62248,"species","Asclepias cordifolia","native","yes"
"32",195,79509,"species","Viola hallii","native","yes"
"33",193,77075,"species","Erythronium citrinum","native","yes"
"34",193,158471,"species","Arabis aculeolata","native","yes"
"35",184,543559,"species","Delphinium pavonaceum","native","yes"
"36",184,1487137,"species","Cirsium peckii","native","yes"
"37",170,771820,"species","Diplacus deschutesensis","native","yes"
"38",164,159843,"species","Cardamine penduliflora","native","yes"
"39",164,768201,"species","Koenigia phytolaccifolia","native","yes"
"40",154,159693,"species","Calochortus howellii","native","yes"
"41",149,50710,"species","Cypripedium californicum","native","yes"
"42",148,76138,"species","Castilleja brevilobata","native","yes"
"43",148,164718,"species","Lomatium bradshawii","native","yes"
"44",141,75744,"species","Balsamorhiza sericea","native","yes"
"45",134,75300,"species","Ageratina occidentalis","native","yes"
"46",130,61191,"species","Calochortus uniflorus","native","yes"
"47",126,160688,"species","Clematis hirsutissima","native","yes"
"48",126,164438,"species","Lathyrus holochlorus","native","yes"
"49",123,75745,"species","Balsamorhiza serrata","native","yes"
"50",114,77802,"species","Lomatium canbyi","native","yes"
"51",113,76136,"species","Cascadia nuttallii","native","yes"
"52",111,75862,"species","Boykinia major","native","yes"
"53",108,47372,"species","Sequoia sempervirens","native","yes"
"54",107,508658,"species","Fragaria cascadensis","native","yes"
"55",106,77731,"species","Lewisia oppositifolia","native","yes"
"56",105,77822,"species","Lomatium piperi","native","yes"
"57",104,77440,"species","Horkelia howellii","native","yes"
"58",103,78809,"species","Quercus sadleriana","native","yes"
"59",102,78026,"species","Micranthes howellii","native","yes"
"60",102,125665,"species","Trillium petiolatum","native","yes"
"61",96,1415104,"species","Cleomella platycarpa","native","yes"
"62",91,1044616,"species","Castilleja elata","native","yes"
"63",88,64049,"species","Arctostaphylos canescens","native","yes"
"64",83,75367,"species","Allium tolmiei","native","yes"
"65",83,164739,"species","Lomatium minus","native","yes"
"66",81,77812,"species","Lomatium howellii","native","yes"
"67",81,164341,"species","Kalmiopsis leachiana","native","yes"
"68",80,78810,"species","Quercus vacciniifolia","native","yes"
"69",79,78581,"species","Picea breweriana","native","yes"
"70",78,75796,"species","Boechera koehleri","native","yes"
"71",78,160195,"species","Castilleja glandulifera","native","yes"
"72",77,159303,"species","Bolandra oregana","native","yes"
"73",76,169990,"species","Trillium kurabayashii","native","yes"
"74",75,75366,"species","Allium siskiyouense","native","yes"
