"","role","user.id","user.login","user.name","join_date"
"1",NA,738307,"coprolitemergie","Coprolitemergie","2023-06-02T23:07:18+00:00"
"2",NA,3535624,"veltkamp","Colton Veltkamp","2023-10-16T03:47:54+00:00"
"3",NA,27047,"gcwarbler","Chuck Sexton","2023-10-03T16:02:08+00:00"
"4",NA,3307222,"kierandh","Kieran H","2023-06-04T02:41:34+00:00"
"5",NA,1304925,"mswiseman","Michele Wiseman","2023-06-04T02:41:48+00:00"
"6",NA,148224,"plantgoddess42","","2023-06-04T02:42:05+00:00"
"7",NA,629586,"rachelawerling","Rachel Werling","2023-06-04T02:41:54+00:00"
"8",NA,501947,"jasonclinch","Jason Clinch","2023-06-04T02:42:04+00:00"
"9",NA,544779,"kimmyb33",NA,"2023-06-04T02:42:07+00:00"
"10",NA,1206144,"lisa536","Lisa Appel","2023-06-04T02:42:08+00:00"
"11",NA,245221,"kammyk",NA,"2023-06-04T02:42:10+00:00"
"12",NA,2687171,"marykhayden","Mary Hayden","2023-06-04T02:42:42+00:00"
"13",NA,176613,"laurenmeyer","Lauren Meyer","2023-06-04T02:42:47+00:00"
"14",NA,1062084,"mvconover","Margaret","2023-06-04T02:42:48+00:00"
"15",NA,2661416,"leela_bee",NA,"2023-06-04T02:43:04+00:00"
"16",NA,1060247,"jlippert2218","Jenny Lippert","2023-06-04T02:43:07+00:00"
"17",NA,687915,"deehimes","Dee Shea Himes","2023-06-04T02:43:09+00:00"
"18",NA,1006069,"mmckeag","","2023-06-04T02:43:58+00:00"
"19",NA,6655285,"annelieh","Annelie Haberman","2023-07-02T19:29:05+00:00"
"20",NA,434305,"alex_abair","Alex Abair","2023-07-18T04:51:45+00:00"
"21",NA,4123235,"mlroush","Mary Lynn Roush","2023-05-31T15:16:48+00:00"
"22","manager",789048,"twainwright","Tom Wainwright","2023-05-20T21:33:06+00:00"
"23",NA,5890192,"lindahardison","Linda K Hardison","2024-01-04T08:39:28+00:00"
"24","manager",6439478,"npsoregon","Native Plant Society of Oregon","2023-05-23T22:28:41+00:00"
"25",NA,1769981,"judisanders","Judi Sanders","2023-05-23T23:09:16+00:00"
"26",NA,177892,"bellaormseth","Bella Ormseth","2023-08-17T16:54:56+00:00"
"27","manager",6650,"mickley","James Mickley","2023-05-19T21:13:59+00:00"
"28",NA,722991,"brucen","Bruce Newhouse","2023-05-19T23:15:44+00:00"
"29",NA,1075602,"geographerdave","David Anderson","2023-05-19T23:48:48+00:00"
"30",NA,2337177,"schallle","Lecia Schall","2023-06-13T15:38:33+00:00"
"31",NA,2581422,"galash","Dayne Galash","2023-08-05T14:10:27+00:00"
"32",NA,5793817,"nannss","Anna Wiley","2023-06-01T18:07:58+00:00"
"33",NA,6362089,"samanthaw37",NA,"2023-07-03T05:52:12+00:00"
"34","manager",5759354,"stephen_meyers","Stephen Meyers","2023-08-02T23:33:54+00:00"
"35",NA,1309897,"sedgequeen","Barbara L. Wilson","2023-06-05T19:44:44+00:00"
"36","manager",811188,"ribes2018","Gail A Baker","2023-06-01T20:22:19+00:00"
"37",NA,4185431,"cassandra_oliveira","Cassandra Oliveira","2023-12-01T03:37:39+00:00"
"38",NA,7647723,"canian123",NA,"2023-12-01T03:46:23+00:00"
"39",NA,6567733,"laurennorris",NA,"2023-12-07T21:18:50+00:00"
"40",NA,1534203,"jen197","Jen Byrd","2023-12-29T18:23:07+00:00"
