"","user_id","observation_count","user.login","user.name"
"1",1768946,699,"stephenjjbrown","Stephen"
"2",2184188,694,"james_arthura","James A. Holland"
"3",4426975,691,"amanda_inthewild","Amanda B"
"4",4609915,671,"sublettes",NA
"5",2494062,662,"erikoid","Erik Erbes"
"6",880450,660,"runningvegan","Kayla Brown"
"7",150454,645,"david99","David Rankin"
"8",10999,642,"rappman",""
"9",5083745,633,"ashgreyskies","Anna Hougardy"
"10",1500771,632,"andrewcayer","Andrew Cayer"
"11",1197,626,"davidpcraig","David P. Craig"
"12",3960107,621,"petezani","Pete Zani"
"13",1156539,612,"tzaddi","Richard R. Cordero"
"14",4915,612,"birdgal5","Dee Warenycia"
"15",539881,598,"cbruner","Camden Bruner"
"16",504456,598,"lysandra","Lysandra Pyle"
"17",335817,598,"maureen-j-jules",""
"18",3074460,596,"gentilcore","Dominic Gentilcore"
"19",1478862,593,"vanjinbo","Carol"
"20",3531500,588,"philipspencer","Philip Spencer"
"21",2222311,585,"katelink","Katelin K"
"22",510442,584,"hfb","Heather Fulton-Bennett"
"23",304776,584,"bit","Bitty A. Roy"
"24",240978,584,"marissa6","Marissa Lane-Massee"
"25",1598198,576,"grassgirl","grassgirl"
"26",5715361,573,"forever1057","Adam Dibley"
"27",5858303,569,"inkadillo","Zev D."
"28",5575964,569,"eighthartgreavs","Mia Meyer"
"29",2589288,567,"sarahaceae",""
"30",387421,567,"seymoregulls","Seymore Gulls"
"31",1762361,546,"abreinin",NA
"32",3258141,538,"marieheub","Marie Heuberger"
"33",380213,525,"wenatcheeb","Lisa H. Robinson"
"34",378755,524,"jensanford","Jen Sanford"
"35",2379782,522,"plantsfungietc","Bobby Valentine"
"36",642,521,"biosam","Sam McNally"
"37",950846,520,"mcmerlla","Merlla McLaughlin"
"38",3116192,515,"girlysound","Carson"
"39",818691,511,"lesliedavis",NA
"40",2949453,509,"fishaspey","Scott O'Donnell"
"41",3448676,504,"jareddodson",NA
"42",2448463,504,"stevencrum","Steven Crum"
"43",2721188,502,"emily_jeanne",NA
"44",178946,502,"ksayce","Kathleen Sayce"
"45",4425,501,"birdernaturalist","Rich Hoyer"
"46",3803384,500,"michael_long","Michael Long"
"47",5447305,499,"katharinadavitt","Katharina Davitt"
"48",754260,499,"ellenwatrous","Ellen Watrous"
"49",2366875,495,"bwester","Blair"
"50",1652740,493,"sauviejane","Jane Hartline"
"51",3494,490,"damontighe","Damon Tighe"
"52",2363455,482,"elly22","Elly Hutchinson"
"53",419060,482,"lynnhmb","Lynn Jackson"
"54",1940703,480,"anna872","Anna Ramthun"
"55",174086,470,"actitis","Hendrik Herlyn"
"56",5252327,468,"kddrop","Kay"
"57",34488,467,"pileated","Casey H. Richart"
"58",267639,445,"etantrah","Nate Hartley"
"59",4790037,444,"liam_gerry","Liam Gerry"
"60",5065233,443,"detritvs","Ari"
"61",4089220,443,"howard_erbe99","Howard W Erbe"
"62",226045,442,"joshuadoby","Joshua Doby"
"63",295807,441,"adambryant","Adam Bryant"
"64",3083986,437,"cozybones",NA
"65",5557121,433,"ceallworth","Clark Allworth"
"66",20270,431,"lorri-gong","Lorri Gong"
"67",550238,430,"nancybee","Nancy Betty"
"68",23429,429,"nils2","Nils N"
"69",824813,424,"aimlow_flyhigh","Dētto"
"70",277264,424,"smcknight","S McKnight"
"71",6987941,423,"digitaldarling","Gwendy"
"72",2702278,423,"isaacklementis","Isaac Klementis"
"73",282384,423,"anngoddard","Ann Goddard"
"74",994488,419,"ficuscarica","Joseph Ycaza"
"75",35952,414,"petrelharp",NA
"76",1245013,412,"justin300","Justin Wisner"
"77",454307,412,"suzanne53",""
"78",3064171,411,"fernsibley","Fern"
"79",3923775,410,"season_of_sticks","Ash Gill"
"80",882715,410,"whitneybailey",""
"81",4170814,403,"bogarm","Mike Bogar"
"82",2333647,401,"penumbra","Christopher Haindel"
"83",2926760,400,"cgoodfel",NA
"84",251866,400,"pengelmeyer","Paul Engelmeyer"
"85",2449414,399,"jamesgrasstoucher","James Hershiser"
"86",770229,399,"englerj","Joe Engler"
"87",1489657,398,"lizarddan60","Dan Cozart"
"88",1117485,397,"oregonbirder0","Oregon Birder"
"89",574477,397,"pinus_taeda",NA
"90",4030640,395,"corinneschroeder","Corinne Schroeder"
"91",785779,394,"wowokayyes","Matt Wallace"
"92",440899,394,"bethanymckenzie","Bethany Mckenzie"
"93",3830243,393,"jason_donatelli","Jason Donatelli"
"94",12665,388,"hexapod","Damion Coe"
"95",2138281,387,"tomcruiise",NA
"96",1553539,387,"tobiaspolicha","Tobias Policha"
"97",1387504,387,"rrcheek","Rebecca R Cheek"
"98",752114,386,"stephaniehazen","Stephanie Hazen"
"99",1144630,385,"cosmopterix","Mike Palmer"
"100",2413043,383,"pualanid","Pualani D"
"101",179375,382,"prairiefarmer","Bob Hansen"
"102",734621,381,"criswaller","Cris Waller"
