Group,Family,taxon.name,OregonFlora
Dicotyledons,Aizoaceae,Carpobrotus chilensis,"exotic, naturalized"
Dicotyledons,Aizoaceae,Carpobrotus edulis,"exotic, not naturalized"
Dicotyledons,Aizoaceae,Delosperma cooperi,"exotic, not naturalized"
Dicotyledons,Aizoaceae,Sesuvium verrucosum,native
Dicotyledons,Aizoaceae,Tetragonia tetragonioides,"exotic, not naturalized"
Dicotyledons,Amaranthaceae,Allenrolfea occidentalis,native
Dicotyledons,Amaranthaceae,Amaranthus albus,"exotic, naturalized"
Dicotyledons,Amaranthaceae,Amaranthus blitoides,uncertain
Dicotyledons,Amaranthaceae,Amaranthus californicus,native
Dicotyledons,Amaranthaceae,Amaranthus deflexus,"exotic, not naturalized"
Dicotyledons,Amaranthaceae,Amaranthus hybridus,uncertain
Dicotyledons,Amaranthaceae,Amaranthus hypochondriacus,"exotic, not naturalized"
Dicotyledons,Amaranthaceae,Amaranthus palmeri,"exotic, not naturalized"
Dicotyledons,Amaranthaceae,Amaranthus powellii,native
Dicotyledons,Amaranthaceae,Amaranthus retroflexus,native
Dicotyledons,Amaranthaceae,Amaranthus viridis,"exotic, not naturalized"
Dicotyledons,Amaranthaceae,Atriplex argentea,native
Dicotyledons,Amaranthaceae,Atriplex argentea var. hillmanii,native
Dicotyledons,Amaranthaceae,Atriplex canescens,native
Dicotyledons,Amaranthaceae,Atriplex canescens var. canescens,native
Dicotyledons,Amaranthaceae,Atriplex confertifolia,native
Dicotyledons,Amaranthaceae,Atriplex dioica,native
Dicotyledons,Amaranthaceae,Atriplex gardneri,native
Dicotyledons,Amaranthaceae,Atriplex gardneri var. falcata,native
Dicotyledons,Amaranthaceae,Atriplex gmelinii,native
Dicotyledons,Amaranthaceae,Atriplex gmelinii var. gmelinii,native
Dicotyledons,Amaranthaceae,Atriplex hortensis,"exotic, not naturalized"
Dicotyledons,Amaranthaceae,Atriplex hymenelytra,"exotic, not naturalized"
Dicotyledons,Amaranthaceae,Atriplex micrantha,"exotic, naturalized"
Dicotyledons,Amaranthaceae,Atriplex oblongifolia,"exotic, not naturalized"
Dicotyledons,Amaranthaceae,Atriplex patula,native
Dicotyledons,Amaranthaceae,Atriplex powellii,native
Dicotyledons,Amaranthaceae,Atriplex prostrata,native
Dicotyledons,Amaranthaceae,Atriplex pusilla,native
Dicotyledons,Amaranthaceae,Atriplex rosea,"exotic, naturalized"
Dicotyledons,Amaranthaceae,Atriplex truncata,native
Dicotyledons,Amaranthaceae,Bassia hyssopifolia,"exotic, naturalized"
Dicotyledons,Amaranthaceae,Bassia scoparia,"exotic, naturalized"
Dicotyledons,Amaranthaceae,Beta vulgaris,"exotic, not naturalized"
Dicotyledons,Amaranthaceae,Blitum nuttallianum,native
Dicotyledons,Amaranthaceae,Blitum spathulatum,native
Dicotyledons,Amaranthaceae,Chenopodium album,"exotic, naturalized"
Dicotyledons,Amaranthaceae,Chenopodium atrovirens,native
Dicotyledons,Amaranthaceae,Chenopodium berlandieri,native
Dicotyledons,Amaranthaceae,Chenopodium berlandieri var. zschackei,native
Dicotyledons,Amaranthaceae,Chenopodium capitatum,native
Dicotyledons,Amaranthaceae,Chenopodium capitatum var. capitatum,"exotic, not naturalized"
Dicotyledons,Amaranthaceae,Chenopodium capitatum var. parvicapitatum,native
Dicotyledons,Amaranthaceae,Chenopodium chenopodioides,"exotic, naturalized"
Dicotyledons,Amaranthaceae,Chenopodium desiccatum,native
Dicotyledons,Amaranthaceae,Chenopodium foliosum,"exotic, naturalized"
Dicotyledons,Amaranthaceae,Chenopodium fremontii,native
Dicotyledons,Amaranthaceae,Chenopodium glaucum,uncertain
Dicotyledons,Amaranthaceae,Chenopodium incanum,"exotic, not naturalized"
Dicotyledons,Amaranthaceae,Chenopodium incanum var. occidentale,"exotic, not naturalized"
Dicotyledons,Amaranthaceae,Chenopodium incognitum,"exotic, not naturalized"
Dicotyledons,Amaranthaceae,Chenopodium leptophyllum,native
Dicotyledons,Amaranthaceae,Chenopodium murale,"exotic, not naturalized"
Dicotyledons,Amaranthaceae,Chenopodium nevadense,native
Dicotyledons,Amaranthaceae,Chenopodium polyspermum,"exotic, not naturalized"
Dicotyledons,Amaranthaceae,Chenopodium polyspermum var. acutifolium,"exotic, not naturalized"
Dicotyledons,Amaranthaceae,Chenopodium pratericola,native
Dicotyledons,Amaranthaceae,Chenopodium rubrum,native
